id;tense;source/target;is correct target?;is correct translation?;w1;w2;w3;pos1;pos2;pos3;lemma1;lemma2;lemma3;comments;full fragment;source words;source fragment
17369;futuro perfecto;target;yes;yes;habrá;metido;;VHfin;VLadj;;haber;meter;;;¿ Dónde se habrá metido esta niña ?;est passée;Mais où est elle passée ?
17370;pretérito perfecto compuesto;target;yes;yes;habéis;encerrado;;VHfin;VLadj;;haber;encerrar;;;"¡ Walsingham !
Decidnos con qué autoridad nos habéis encerrado aquí .";avez-vous enfermés;Walsingham , au nom de qui nous avez-vous enfermés ?
17371;pretérito perfecto compuesto;target;yes;yes;he;empezado;;VHfin;VLadj;;haber;empezar;;;- Ya he empezado ,;ai commencé;- J' ai déjà commencé .
17372;pretérito perfecto compuesto;target;yes;yes;has;contado;;VHfin;VLadj;;haber;contar;;;¿ Se lo has contado a alguien ?;as dit;Tu l' as dit à quelqu' un ?
17373;pretérito indefinido;target;yes;yes;amé;;;NC;;;amé;;;;Maldición , cuánto la amé .;ai aimée;Putain , qu' est-ce que je l' ai aimée .
17374;presente;target;yes;yes;acerca;;;VLfin;;;acercar;;;;Debéis confirmar a su Majestad que el momento se acerca .;est venue;Rassurez-le , l' heure est bientôt venue .
17375;presente;target;yes;yes;es;;;VSfin;;;ser;;;;Vuestra dependencia de su buena voluntad es mayor que nunca .;avez dépendu;Vous n' avez jamais autant dépendu de leur bon vouloir .
17376;pretérito indefinido;target;yes;yes;diste;;;VLfin;;;dar|distar;;;;Le diste un funeral , ¿ no ?;as fait;Tu lui as fait un enterrement ?
17377;pretérito perfecto compuesto;target;yes;yes;ha;sido;;VHfin;VSadj;;haber;ser;;;Quién ha sido ?;a fait;Qui a fait ça ?
17378;pretérito indefinido;target;yes;yes;tomaste;;;VLfin;;;tomaste;;;;- Elisa , ¿ qué tomaste ?;as pris;- Qu' est-ce que t' as pris ?
17379;pretérito indefinido;target;yes;yes;Estuviste;soñando;;VEfin;VLger;;estar;soñar;;;¡ Estuviste soñando , puto !;as rêvé;T' as rêvé , homo !
17382;pretérito indefinido;target;yes;yes;fue;;;VSfin;;;ser;;;;Su Majestad fue , considero , ligera en extremo rechazando al Duque en matrimonio .;a rejeté;Selon moi , sa Majesté a rejeté trop vite
17383;pretérito perfecto compuesto;target;yes;yes;han;enviado;;VHfin;VLadj;;haber;enviar;;;Hemos declarado el estado de emergencia , y se han enviado equipos de rescate ...;avons envoyé;Nous avons déclaré l' état d' urgence , et avons envoyé des ambulanciers ...
17384;pretérito perfecto compuesto;target;yes;yes;han;dado;;VHfin;VLadj;;haber;dar;;;Kupsch persigue al mismo convoy , Le han dado a uno de 6,000 toneladas ,;a torpillé;Stackmann a torpillé un 6000 tonnes .
17385;pretérito indefinido;target;yes;yes;dije;;;VLfin;;;decir;;;;Viejo , le dije que no pase por mi calle .;ai dit;Mec , je lui ai dit de ne pas rouler dans ma rue .
17386;pretérito indefinido;target;yes;yes;Intenté;;;VLfin;;;intentar;;;;Intenté parar la máquina , pero ya era tarde .;ai essayé;J' ai essayé d' arrêter , mais trop tard .
17387;pretérito indefinido;target;yes;yes;habló;;;VLfin;;;hablar;;;;- ¿ Ella habló de mí ?;a parlé;- Elle a parlé de moi ?
17388;pretérito perfecto compuesto;target;yes;yes;Habéis;derramado;;VHfin;VLadj;;haber;derramar;;;Habéis derramado vuestra propia sangre , en lugar de la de un inocente .;avez choisi;Vous avez choisi de verser votre sang plutôt que celui d' un innocent .
17389;presente;target;yes;yes;Traigo;;;VLfin;;;traer;;;;Traigo un poco de aguardiente , tabaco , queso .;ai apporté;Je vous ai apporté un peu d' eau de vie , du tabac , du fromage .
17390;pretérito indefinido;target;yes;yes;pensó;;;VLfin;;;pensar;;;;¿ Nunca pensó hacer un curso de esteticista ?;avez pensé;Vous n' avez pas pensé à un CAP d' esthéticienne ?
17391;pretérito indefinido;target;yes;yes;dijiste;;;VLfin;;;decir;;;;"- ¿ Qué les dijiste ?
- Nada , ¿ qué quieres que les dijera ?";as dit;- Qu' est-ce que tu as dit ?
17392;pretérito indefinido;target;yes;yes;dio;;;VLfin;;;dar;;;;Ayer , este grupo de muchachos de Maaskantje dio el ejemplo .;a donné;Hier , ce groupe d' individus de Maaskantje a donné l' exemple .
17394;pretérito imperfecto;target;yes;yes;teníamos;;;VLfin;;;tener;;;;Lo teníamos que dejar actuar , para poder robarnos el dinero de las entradas .;a laissé;On l' a laissé se produire , afin que nous puissions voler l' argent des billet vendus .
17395;pretérito indefinido;target;yes;yes;sirvió;;;VLfin;;;servir;;;;Soné el silbato , pero no sirvió de nada .;ont réagi;J' ai donné des coups de sifflet , mais ils n' ont pas réagi .
17396;pretérito perfecto compuesto;target;yes;yes;has;matado;;VHfin;VLadj;;haber;matar;;;"¡ Lo has matado !
¡ Lo has matado !";avez tué;Vous l' avez tué , vous l' avez tué !
17397;presente;target;yes;yes;están;;;VLfin;;;estar;;;;Dónde están ?;sont-ils passés;Où sont-ils passés ?
17398;pretérito indefinido;target;yes;yes;dejaste;;;VLfin;;;dejar;;;;Donde lo dejaste .;a laissé;Là où on l' a laissé !
17399;pretérito perfecto compuesto;target;yes;yes;ha;cagado;;VHfin;VLadj;;haber;cagar;;;"¿ Quién ha cagado en mi celda ?
¡ Hay mierda por todas partes !";ai chié;J' ai chié dans ma cellule , il ya de la merde partout !
17400;pretérito indefinido;target;yes;yes;hizo;;;VLfin;;;hacer;;;;Vuestro verdadero padre ... nos hizo abrir portales por todo el mundo para permitir vuestro regreso .;a fait;Partout dans le monde votre vrai père a fait ouvrir des portails .
17401;pretérito perfecto compuesto;target;yes;yes;ha;decidido;;VHfin;VLadj;;haber;decidir;;;En Maaskantje una persona ha decidido no pagar por nada .;a décidé;A Maaskantje une personne a décidé de ne plus rien payer .
17403;pretérito indefinido;target;yes;yes;dije;;;VLfin;;;decir;;;;"No dije nada por las medias y ya eso me costó .
Pero lo hice .";ai dit;Déjà , je n' ai rien dit pour les bas mais ça m' a coûté .
17404;pretérito indefinido;target;yes;yes;sangró;;;VLfin;;;sangró;;;;- ¿ El tipo sangró de la nariz ...;a saigné;- Le mec a saigné du nez ...
17405;pretérito perfecto compuesto;target;yes;yes;he;entendido;;VHfin;VLadj;;haber;entender;;;- No he entendido .;ai compris;- J' ai pas compris .
17406;pretérito indefinido;target;yes;yes;pude;;;VLfin;;;poder;;;;Esto es todo cuanto pude conseguír .;ai réussi;Voilà , c' est tout ce que j' ai réussi à trouver .
17407;presente;target;yes;yes;Estás;escuchando;;VEfin;VLger;;estar;escuchar;;;¿ Estás escuchando ?;as entendu;Tu m' as entendu ?
17409;pretérito indefinido;target;yes;yes;hablé;;;VLfin;;;hablar;;;;Yo hablé .;ai parlé;j' ai parlé .
17410;pretérito indefinido;target;yes;yes;Dimos;;;VLfin;;;dar;;;;- Dimos el primero ,;a touché;- On a touché le premier .
17411;pretérito indefinido;target;yes;yes;entendí;;;VLfin;;;entender;;;;Bueno , está bien , entendí ...;ai compris;Bon , j' ai compris ...
17412;presente;target;yes;yes;come;;;VLfin;;;comer;;;;No come los alimentos adecuados .;a mangé;Il n' a pas mangé la bonne nourriture .
17413;pretérito indefinido;target;yes;yes;quedó;;;VLfin;;;quedar;;;;No sé por qué quedó Driss .;est resté;C' est Driss qui est resté .
17414;pretérito indefinido;target;yes;yes;hice;;;VLfin;;;hacer;;;;Por el momento , hice más estudios de lo que trabajé .;ai fait;J' ai plus fait d' études que travaillé .
17415;pretérito indefinido;target;yes;yes;perdí;;;VLfin;;;perder;;;;y luego perdí a mi esposa y mis hijos porque no podía cuidar de ellos .;ai perdu;J' ai perdu ma femme et mes enfants , parce que je ne pouvais pas prendre soin d' eux .
17416;pretérito indefinido;target;yes;yes;Tuvo;;;VLfin;;;tener;;;;Tuvo suerte ,;a eu;Il a eu de la chance .
17417;pretérito perfecto compuesto;target;yes;yes;ha;ganado;;VHfin;VLadj;;haber;ganar;;;Su Majestad ha ganado el debate .;a eu;Sa Majesté a eu gain de cause .
17418;pretérito perfecto compuesto;target;yes;yes;He;visto;;VHfin;VLadj;;haber;ver;;;- He visto un hada .;ai vu;- J' ai vu une fée .
17419;pretérito indefinido;target;yes;yes;pediste;;;VLfin;;;pedir;;;;- No lo pediste .;as commandé;- T' as pas commandé .
17420;pretérito indefinido;target;yes;yes;asaltaron;;;VLfin;;;asaltar;;;;¿ Qué se llevaron de los vagones qué asaltaron ?;ont attaqués;Que contenez les wagons qu' ils ont attaqués ?
17421;pretérito indefinido;target;yes;yes;escribieron;;;VLfin;;;escribir;;;;Quiero los nombres de quienes escribieron estas cartas .;ont écrit;Je veux le nom de ceux qui ont écrit ces lettres .
17422;pretérito indefinido;target;yes;yes;Dejé;;;VLfin;;;dejar;;;;Dejé no hace mucho , y creo que para usted no está aconsejado .;ai arrêté;J' ai arrêté il y a peu .
17423;pretérito indefinido;target;yes;yes;comió;;;VLfin;;;comer;;;;- Es la carne que comió , le cayó mal .;a mangé;- C' est le bakpao qu' il a mangé .
17424;futuro imperfecto;target;yes;yes;estaremos;navegando;;VEfin;VLger;;estar;navegar;;;- Pronto estaremos navegando ,;est partis;- On est bientôt partis .
17425;pretérito indefinido;target;yes;yes;permitieron;;;VLfin;;;permitir;;;;Porque los obispos no se lo permitieron .;ont empêchés;Les évêques les ont empêchés .
17426;pretérito indefinido;target;yes;yes;capturó;;;VLfin;;;capturar;;;;El Sargento Bayona examinó el área y capturó un sospechoso .;a fait;Il a fait un prisonnier .
17427;pretérito indefinido;target;yes;yes;cometí;;;VLfin;;;cometer;;;;Porque , Majestad , ninguno cometí .;ai commis;Parce que je n' en ai commis aucun .
17428;pretérito indefinido;target;yes;yes;Comenzó;;;VLfin;;;comenzar;;;;Comenzó con cinco jóvenes de Maaskantje que se negaron a pagar por nada .;a commencé;Cela a commencé avec cinq individus de Maaskantje , qui refusent de payer pour quoi que ce soit .
17429;pretérito indefinido;target;yes;yes;Tuve;;;VLfin;;;tener;;;;Tuve mi primera experiencia profesional- -;ai eu;J' ai eu ma 1re expérience ...
17430;pretérito indefinido;target;yes;yes;hablé;;;VLfin;;;hablar;;;;- P-p-p-pero yo hablé .;ai parlé;- M-m-mais j' ai parlé .
17431;pretérito indefinido;target;yes;yes;fue;;;VLfin;;;ir|ser;;;;¿ Y usted fue a pesar de todo ?;avez été;Vous y avez été ?
17432;pretérito indefinido;target;yes;yes;obedeciste;;;VLfin;;;obedeciste;;;;¿ Por qué no me obedeciste ?;avez obéi;Pourquoi vous n' avez pas obéi ?
17433;pretérito indefinido;target;yes;yes;abandonó;;;VLfin;;;abandonar;;;;Por eso él te abandonó .;as abandonné;C' est pour ça qu' il t' as abandonné .
17434;pretérito indefinido;target;yes;yes;topamos;;;VLfin;;;topar;;;;Y aun así nos topamos con uno de los nuestros , 60 metros , Está listo , señor ,;a abordé;Et on a presque abordé un de nôtres .
17435;pretérito indefinido;target;yes;yes;ganamos;;;VLfin;;;ganar;;;;La guerra acabó y nosotros ganamos .;avons gagnée;la guerre est terminée et nous l' avons gagnée .
17436;pretérito indefinido;target;yes;yes;murió;;;VLfin;;;morir;;;;Después , mi tío murió .;est mort;Mon oncle est mort .
17437;pretérito indefinido;target;yes;yes;Dije;;;VLfin;;;decir;;;;Dije nadie .;ai dit;J' ai dit personne .
17438;pretérito perfecto compuesto;target;yes;yes;he;determinado;;VHfin;ADJ;;haber;determinado;;;Pese a que mi afecto por vos no puede ser menor , he , tras una agónica deliberación , determinado sacrificar mi propia felicidad por el bien de mi pueblo .;ai décidé;Bien que mon affection pour vous reste intacte , j' ai décidé , après maints atermoiements , de sacrifier mon bonheur à celui de mon peuple .
17439;futuro imperfecto;target;yes;yes;estarás;;;VEfin;;;estar;;;;Nunca estarás sola .;as été;T' as jamais été seule .
17441;pretérito indefinido;target;yes;yes;Fui;educado;;VLfin;VLadj;;ir|ser;educar;;;Fui educado en la idea de que se mostraba desprecio por la gente .;ai été élevé;J' ai été élevé dans l' idée qu' on pissait sur le monde .
17444;pretérito indefinido;target;yes;yes;Intentamos;;;VLfin;;;intentar;;;;Intentamos todo para conseguir más dinero , pero no funcionó .;avons essayé;Nous avons tout essayé pour obtenir plus d' argent , mais sans résultats .
17445;presente;target;yes;yes;Huele;;;VLfin;;;oler;;;;- ¿ Huele a mierda ?;as pété;- T' as pété ?
17446;pretérito indefinido;target;yes;yes;fueron;;;VLfin;;;ser;;;;Se fueron deprisa .;sont partis;Ils sont partis précipitamment .
17447;pretérito indefinido;target;yes;yes;Olvidaron;;;VLfin;;;olvidar;;;;¡ Olvidaron esto !;avez oublié;Vous avez oublié ça !
17448;pretérito indefinido;target;yes;yes;sacaste;;;VLfin;;;sacar;;;;¿ De dónde sacaste esto ?;as eu;Où t' as eu ça ?
17449;pretérito perfecto compuesto;target;yes;yes;ha;sido;arrestado;VHfin;VSadj;VLadj;haber;ser;arrestar;;Entonces , ¿ se supone que no ha sido arrestado ?;a été;Je suppose qu' il n' a pas été arrêté ?
17450;pretérito indefinido;target;yes;yes;hiciste;;;VLfin;;;hacer;;;;¿ Qué hiciste ?;as fait;T' as fait quoi ?
17451;pretérito indefinido;target;yes;yes;saltamos;;;VLfin;;;saltar;;;;El fogonero y yo saltamos a tiempo , pero mire la carga .;avons sauté;Le chauffeur et moi , nous avons sauté à temps mais regardez moi ce désastre .
17453;pretérito pluscuamperfecto;target;yes;yes;había;librado;;VHfin;VLadj;;haber;librar;;;- Se había librado bien de ellos .;avez eus;- Vous les avez eus !
17454;pretérito indefinido;target;yes;yes;comenzaron;;;VLfin;;;comenzar;;;;Anoche , comenzaron disturbios en la región de Brabante .;a débuté;Hier soir a débuté une série d' émeutes , dans toute la région de Brabant .
17455;pretérito indefinido;target;yes;yes;comenzó;;;VLfin;;;comenzar;;;;La chica comenzó a gemir , como una puta .;a commencé;Elle a commencé à se plaindre .
17456;pretérito perfecto compuesto;target;yes;yes;ha;sido;;VHfin;VSadj;;haber;ser;;;No tienes idea de lo bueno que ha sido para nosotras .;a été;Si tu savais comme il a été bon pour nous .
17457;pretérito indefinido;target;yes;yes;Perdí;;;VLfin;;;perder;;;;¡ Perdí mi trabajo , mi mujer y ahora mi auto , mierda !;ai perdu;J' ai perdu mon emploi , ma copine et ma voiture , nom de Dieu !
17458;pretérito indefinido;target;yes;yes;pensó;;;VLfin;;;pensar;;;;Es lo que pensó siempre .;avez pensé;C' est ce que vous avez toujours pensé .
17459;pretérito perfecto compuesto;target;yes;yes;ha;sido;suspendido;VHfin;VSadj;VLadj;haber;ser;suspender;;Debido a la mora sobre el estado de su cuenta su servicio telefónico ha sido suspendido .;a été suspendu;a été suspendu .
17460;pretérito perfecto compuesto;target;yes;yes;has;notado;;VHfin;VLadj;;haber;notar;;;Está enferma a causa del bebé . ¿ Lo has notado ?;as remarqué;T' as remarqué ?
17461;pretérito perfecto compuesto;target;yes;yes;ha;muerto;;VHfin;VLadj;;haber;muerto;;;¿ Ya ha muerto ?;est morte;Elle est morte ?
17462;pretérito indefinido;target;yes;yes;Compré;;;VLfin;;;comprar;;;;"Compré dos packs , ¿ los has cogido tú ?
No sé , me la suda .";hatte gekauft;Ich hatte welches gekauft , hast du ' s genommen ?
17463;pretérito perfecto compuesto;target;yes;yes;ha;pasado;;VHfin;VLadj;;haber;pasar;;;- ¿ Qué ha pasado ?;ist passiert;- Was ist passiert ?
17466;presente;target;yes;yes;caiga;;;VLfin;;;caer;;;;""" No comas ni bebas nada durante tu permanencia , y vuelve antes de que el último grano de arena caiga . """;gefallen ist;""" Iß oder trink nichts , während deines Aufenthaltes , und sei zurück , bevor das letzte Sandkorn gefallen ist . """
17467;presente;target;yes;yes;está;bajando;;VEfin;VLger;;estar;bajar;;;La fiebre está bajando .;hat gesenkt;Ihr Fieber hat sich gesenkt .
17468;pretérito indefinido;target;yes;yes;causó;;;VLfin;;;causar;;;;¿ Por él , que le causó tanta humillación , tanta miséria ?;gebracht hat;Er , der dir so viel Elend gebracht hat , so viel Demütigung ?
17469;pretérito perfecto compuesto;target;yes;yes;Hemos;ido;;VLfin;VLadj;;haber;ir;;;No hemos visto un rayo de sol en 14 días , Hemos ido a la deriva ,;sind abgedriftet;Wir sind bei dem Sturm abgedriftet .
17470;pretérito perfecto compuesto;target;yes;yes;has;hecho;;VHfin;VLadj;;haber;hacer;;;¿ Qué has hecho ?;hast gemacht;Was hast du gemacht ?
17471;pretérito perfecto compuesto;target;yes;yes;ha;llamado;;VHfin;VLadj;;haber;llamar;;;Dios me ha llamado a ser ...;hat eingesetzt;Gott hat mich eingesetzt .
17472;presente;target;yes;yes;estás;despedido;;VEfin;VLadj;;estar;despedir;;;Pero , en serio , estás despedido .;bist entlassen;Ne , du bist doch entlassen .
17473;pretérito indefinido;target;yes;yes;salieron;;;VLfin;;;salir;;;;Pero las cosas no salieron del todo bien .;haben entwickelt;Aber die Dinge haben sich nicht so gut entwickelt .
17474;pretérito indefinido;target;yes;yes;Descubriste;;;VLfin;;;Descubriste;;;;Descubriste mi punto flaco , la soberbia .;hast gefunden;Du hast meine Schwäche gefunden :
17475;pretérito pluscuamperfecto;target;yes;yes;hubiera;cometido;;VHfin;NC;;haber;cometido;;;Mi padre no hubiera cometido tal error .;hätte gemacht;Mein Vater hätte einen solchen Fehler nie gemacht .
17476;pretérito indefinido;target;yes;yes;hablé;;;VLfin;;;hablar;;;;Yo hablé .;habe geredet;Ich habe geredet .
17478;pretérito pluscuamperfecto;target;yes;yes;había;advertido;;VHfin;VLadj;;haber;advertir;;;- ¿ No os lo había advertido ?;habe gesagt;- habe ich das nicht gesagt ?
17479;presente;target;yes;yes;Está;;;VEfin;;;estar;;;;"No me imaginé que me convertiría en juguete .
Está loco de atar , acabará mal .";sind verrückt;Sie sind total verrückt .
17480;presente;target;yes;yes;acusa;;;VLfin;;;acusar;;;;"Se os acusa de conspirar con Sir Thomas y otros contra Su Soberana Majestad .
Quedáis arrestada por traición .";seid angeklagt;Ihr seid angeklagt , Euch mit Sir Thomas Wyatt verschworen zu haben , gegen ihre Majestät , die Herrscherin , und seid wegen Verrats festgenommen .
17481;pretérito indefinido;target;yes;yes;dió;;;VLfin;;;dar;;;;Es una raíz mágica , el fauno me la dió .;gegebn hat;Es ist eine Zauberwurzel , die der Faun mir gegebn hat .
17482;pasado reciente;target;yes;yes;acabe;de;usar;NC;CSUBI;VLinf;acabe;de;usar;;Al principio no podré confiar en ti , pero cuando acabe de usar esto , me dirás una u otra verdad .;verwendet habe;Zuerst , werde ich dir nicht trauen können , aber nachdem ich das verwendet habe , wirst du einige Dinge eingestehen .
17483;pretérito perfecto compuesto;target;yes;yes;he;ofendido;;VHfin;VLadj;;haber;ofender;;;Lamento profundamente si en algo os he ofendido .;beleidigt habe;Ich bedauere zutiefst , Madam , wenn ich Euch so beleidigt habe .
17484;pretérito indefinido;target;yes;yes;salvaste;;;VLfin;;;salvaste;;;;Pero ahora me salvaste la vida .;hast gerettet;Aber jetzt hast du mein Leben gerettet .
17487;presente;target;yes;yes;está;;;VEfin;;;estar;;;;Contad con mi acuerdo , Excelencia , si el trono de Su Majestad está en peligro .;gefährdet ist;Wenn lhrer Majestät Thron gefährdet ist .
17488;pretérito indefinido;target;yes;yes;Encontraste;;;VLfin;;;encontrar;;;;¿ Encontraste mi huevo ?;Hast gefunden;Hast du mein Ei gefunden ?
17489;condicional compuesto;target;yes;yes;habría;adivinado;;VHfin;VLadj;;haber;adivinar;;;Si lo hubiera visto por la calle , enseguida habría adivinado que era su hermano .;hätte gewusst;Hätte ich ihn auf der Straße gesehen , hätte ich sofort gewusst , dass er Ihr Bruder ist .
17492;pretérito indefinido;target;yes;yes;murió;;;VLfin;;;morir;;;;Dile a que hora murió su padre .;gestorben ist;Sag ihm zu welcher Uhrzeit sein Vater gestorben ist .
17493;pretérito perfecto compuesto;target;yes;yes;he;estado;esperando;VHfin;VEadj;VLger;haber;estar;esperar;;Os he estado esperando .;habe gewartet;Ich habe auf Euch gewartet .
17494;pretérito perfecto compuesto;target;yes;yes;Ha;cesado;;VHfin;VLadj;;haber;cesar;;;Ha cesado de sangrar y sus pechos producen leche .;hat aufgehört;Sie hat aufgehört zu bluten , die Brüste sondern Milch ab , ihr Bauch wird dicker .
17495;pretérito perfecto compuesto;target;yes;yes;han;roto;;VHfin;VLadj;;haber;romper;;;A ver cuántos elementos se han roto , Trae correas para la batería ,;sind ausgelaufen;Wie viele Zellen sind ausgelaufen ?
17496;pretérito perfecto compuesto;target;yes;yes;ha;pegado;;VHfin;VLadj;;haber;pegar;;;Yvonne dice que es inconsciente , violento , que ha pegado a un vecino .;hat geschlagen;Er hat einen Nachbarn geschlagen ?
17498;pretérito perfecto compuesto;target;yes;yes;hayas;atado;;VHfin;VLadj;;haber;atar;;;"¡ Cuidado !
Nunca lo sueltes hasta que lo hayas atado .";angeschnallt ist;Niemals loslassen , wenn er nicht angeschnallt ist !
17499;presente;target;yes;yes;Tengo;;;VLfin;;;tener;;;;Tengo entendido que sois hombre sabio , Sir Francis , y una criatura de mundo , como yo .;habe gehört;Ich habe gehört , lhr seid ein kluger Mann , Sir Francis , und eine Person von Welt .
17500;pretérito indefinido;target;yes;yes;cojiste;;;NC;;;cojiste;;;;Oye , ¿ la cojiste o no ?;hast gefickt;Hey , hast du nun gefickt , oder nicht ?
17501;pretérito indefinido;target;yes;yes;Intentamos;;;VLfin;;;intentar;;;;Intentamos todo para conseguir más dinero , pero no funcionó .;haben unternommen;Wir haben da schon alles dran unternommen , aber es ist leider nicht geglückt .
17502;pretérito indefinido;target;yes;yes;hablé;;;VLfin;;;hablar;;;;- P-p-p-pero yo hablé .;habe geredet;- A-b-ber ich habe geredet .
17503;pretérito indefinido;target;yes;yes;mataron;;;VLfin;;;matar;;;;"Ya ve , teniente ,
, no nos mataron ,";haben umgebracht;Sehen Sie , Leutnant die haben uns nicht umgebracht .
17504;pretérito perfecto compuesto;target;yes;yes;has;dejado;;VHfin;VLadj;;haber;dejar;;;Lo has dejado bastante claro . ¿ Vamos ?;hast klargestellt;Das hast du zur Genüge klargestellt .
17506;presente;target;yes;yes;estamos;;;VEfin;;;estar;;;;- Ahora estamos en la Marina Real ,;Sind gelandet;- Sind wir etwa beim König gelandet .
17507;presente;target;yes;yes;hace;;;VLfin;;;hacer;;;;Pero aparte de una gala al año ya no hace gran cosa .;hat gemacht;Aber seit ihrem letzten Hit hat sie nichts mehr gemacht !
17508;pretérito perfecto compuesto;target;yes;yes;han;desprendido;;VHfin;VLadj;;haber;desprender;;;Los compresores se han desprendido ,;haben losgerissen;Die Kompressoren haben sich losgerissen .
17509;pretérito imperfecto;target;yes;yes;veía;;;VLfin;;;ver;;;;Hacía tiempo que no veía París a estas horas .;habe gesehen;So spät habe ich Paris lange nicht mehr gesehen .
17510;pretérito indefinido;target;yes;yes;traje;;;VLfin;;;traer;;;;Porque precisamente para eso , traje unas cosas cosas que aprendí por ahí .;habe mitgebracht;Aber um sicherzugehen , habe ich einige Werkzeuge mitgebracht .
17512;pretérito indefinido;target;yes;yes;cojió;;;VLfin;;;cojió;;;;El nuevo novio sin duda ya se la cojió .;hat gefickt;Der neue Typ von ihr hat natürlich längst gefickt .
17514;pretérito indefinido;target;yes;yes;perdí;;;VLfin;;;perder;;;;y luego perdí a mi esposa y mis hijos porque no podía cuidar de ellos .;bin verloren;Jetzt bin ich auch noch mein Weib und die Kinder verloren , weil ich nicht mehr für sie Sorgen kann , kapiert ?
17515;pretérito perfecto compuesto;target;yes;yes;han;localizado;;VHfin;VLadj;;haber;localizar;;;No nos han localizado , Están roncando en sus literas ,;haben entdeckt;Die haben uns nicht entdeckt .
17517;pretérito indefinido;target;yes;yes;abandonó;;;VLfin;;;abandonar;;;;Por eso él te abandonó .;hat gelassen;Er hat dich nicht umsonst im Stich gelassen , he .
17518;pretérito perfecto compuesto;target;yes;yes;ha;heredado;;VHfin;VLadj;;haber;heredar;;;Su Majestad debe saber que ha heredado el más peligroso y degenerado Estado .;habt geerbt;Ihr habt einen außerordentlich machtlosen und verkommenen Staat geerbt , Majestät .
17519;pretérito perfecto compuesto;target;yes;yes;Has;hablado;;VHfin;VLadj;;haber;hablar;;;Has hablado con tu mujer ?;Haben gesprochen;Haben Sie mit lhrer Frau gesprochen ?
17521;pretérito pluscuamperfecto;target;yes;yes;hubiera;visto;;VHfin;VLadj;;haber;ver;;;Si lo hubiera visto por la calle , enseguida habría adivinado que era su hermano .;Hätte gesehen;Hätte ich ihn auf der Straße gesehen , hätte ich sofort gewusst , dass er Ihr Bruder ist .
17522;pretérito perfecto compuesto;target;yes;yes;Habéis;fallado;;VHfin;VLadj;;haber;fallar;;;¡ Habéis fallado , no podéis volver !;bist gescheitert;Du bist gescheitert .
17523;pretérito imperfecto;target;yes;yes;entregaba;;;VLfin;;;entregar;;;;Se los entregaba a los nazis y ellos nos daban cosas a cambio .;hat genäht;Dann hat man da ab und zu was an die Juden genäht und dann kriegte man alles , was man von den Nazis wollte .
17524;presente;target;yes;yes;está;suelta;;VEfin;ADJ;;estar;suelto;;;- La correa del motor está suelta ,;ist gerissen;- Fundament ist gerissen .
17526;presente;target;yes;yes;están;rotos;;VEfin;VLadj;;estar;romper;;;Aún no lo sé , Varios elementos de las baterías están rotos ,;sind gerissen;Batteriezellen sind gerissen .
17527;presente;target;yes;yes;está;adaptado;;VEfin;VLadj;;estar;adaptar;;;No , no está nada adaptado .;ist angepasst;Der ist nicht angepasst .
17528;pretérito perfecto compuesto;target;yes;yes;habéis;conseguido;;VHfin;VLadj;;haber;conseguir;;;Así que ... habéis conseguido la llave .;hast zurückgebracht;Also ... du hast den Schlüssel zurückgebracht .
17529;pretérito indefinido;target;yes;yes;encomendó;;;VLfin;;;encomendar;;;;- Lord Robert ... se os encomendó proteger los intereses de Inglaterra .;hat berufen;Lord Robert , man hat Euch in den Rat berufen , damit lhr die Interessen Englands wahrt .
17530;pretérito pluscuamperfecto;target;yes;yes;había;pillado;;VHfin;VLadj;;haber;pillar;;;Tranqui , lo había pillado .;hatte verstanden;Ja , ich hatte schon verstanden .
17531;pretérito perfecto compuesto;target;yes;yes;hemos;roto;;VHfin;VLadj;;haber;romper;;;Le hemos roto el casco a la nave ,;ist gebrochen;Das Rückgrat ist gebrochen .
17532;pretérito indefinido;target;yes;yes;Estuviste;soñando;;VEfin;VLger;;estar;soñar;;;¡ Estuviste soñando , puto !;hast geträumt;Das hast du geträumt , Homo !
17533;presente;target;yes;yes;está;bajando;;VEfin;VLger;;estar;bajar;;;No sé como , pero está bajando .;ist passiert;Ich weiß nicht wie , aber es ist passiert .
17534;pretérito indefinido;target;yes;yes;olvidó;;;VLfin;;;olvidar;;;;¡ Se te olvidó mi pollo frito !;hast vergessen;Du hast meine Hühnerkeulen vergessen , Junge .
17535;pretérito perfecto compuesto;target;yes;yes;han;enviado;;VHfin;VLadj;;haber;enviar;;;"Hemos declarado el estado de emergencia , y se han enviado equipos de rescate ...
De la Segunda Guerra Mundial .";haben gesendet;Wir haben Hilfsmannschaften gesendet ... aus dem 2. Weltkrieg .
17536;pretérito imperfecto;target;yes;yes;decía;;;VLfin;;;decir;;;;Mi abuela me decía que había que tener cuidado con los faunos .;hat gewarnt;Meine Mutter hat mich gewarnt , auf Feen acht zu geben .
17537;pretérito perfecto compuesto;target;yes;yes;ha;muerto;;VHfin;ADJ;;haber;muerto;;;"Mi marido ha muerto .
Han envenenado a mi hijo .";ist gegangen;Mein Gatte ist von mir gegangen , mein Kind haben sie vergiftet .
17538;pretérito indefinido;target;yes;yes;torpedeamos;;;VLfin;;;torpedeamos;;;;Probablemente las llamas del petrolero que torpedeamos ,;beschossen haben;Wahrscheinlich Flammen vom Tanker , den wir beschossen haben .
